HJD,Relative_Flux,Relative_Flux_Uncertainty,Accepted,phase
2453344.6922534,0.996259,0.008725,1,-0.021082448302820467
2453344.6923808,1.002915,0.008599,1,-0.021046303936032018
2453344.6925082,0.987372,0.008488,1,-0.021010159437111042
2453344.6926356,0.995485,0.008411,1,-0.020974015070294172
2453344.6927631,0.998985,0.008902,1,-0.020937842299446174
2453344.6928905,1.013295,0.008469,1,-0.0209016978005252
2453344.6930179,0.997179,0.008454,1,-0.020865553433708328
2453344.6931454,1.000437,0.00842,1,-0.02082938066286033
2453344.6932728,1.006945,0.008642,1,-0.020793236163939355
2453344.6935277,1.007876,0.008592,1,-0.020720919026246065
2453344.6936551,0.999299,0.008502,1,-0.02068477452735351
2453344.6937825,0.996678,0.008725,1,-0.02064863016053664
2453344.69391,1.007807,0.008485,1,-0.02061245738966022
2453344.6940374,1.002292,0.008475,1,-0.020576312890739246
2453344.6941648,0.998014,0.008903,1,-0.020540168523950797
2453344.6942922,0.996838,0.008162,1,-0.020504024157133927
2453344.6944197,0.988378,0.008451,1,-0.020467851254153402
2453344.6945471,0.997193,0.008868,1,-0.020431706887364953
2453344.6946745,1.00066,0.008637,1,-0.020395562520548083
2453344.694802,0.990503,0.008079,1,-0.020359389617567558
2453344.6949294,1.00481,0.008496,1,-0.02032324525077911
2453344.6954513,0.997179,0.008657,1,-0.020175177915177755
2453344.6955787,1.010447,0.0085,1,-0.020139033548389307
2453344.6957061,0.996218,0.008186,1,-0.02010288904946833
2453344.6958336,0.989045,0.008723,1,-0.020066716278591912
2453344.695961,1.002694,0.008433,1,-0.020030571911803463
2453344.6960884,1.003325,0.008485,1,-0.019994427412882487
2453344.6963433,1.002135,0.00841,1,-0.01992211027521762
2453344.6964707,0.987928,0.008901,1,-0.019885965776296644
2453344.6965981,0.991938,0.00813,1,-0.019849821409479773
2453344.6967256,0.995738,0.008448,1,-0.019813648638603354
2453344.696853,1.000387,0.008641,1,-0.0197775041397108
2453344.6969804,0.989978,0.008492,1,-0.01974135977289393
2453344.6971079,0.997324,0.008501,1,-0.01970518700201751
2453344.6974902,1.008272,0.008154,1,-0.019596725365431666
2453344.6976176,0.998793,0.008415,1,-0.01956058086651069
2453344.6978725,0.975332,0.008398,1,-0.019488263728845823
2453344.6979999,0.995619,0.008122,1,-0.019452119229924847
2453344.6981273,1.003339,0.008837,1,-0.019415974863136398
2453344.6982547,1.001619,0.008261,1,-0.019379830496319528
2453344.6983822,0.987201,0.008057,1,-0.019343657593339003
2453344.6985096,1.003254,0.008642,1,-0.019307513226522133
2453344.698637,1.00737,0.008641,1,-0.019271368859733684
2453344.6987645,1.003896,0.008171,1,-0.01923519595675316
2453344.6990193,1.007414,0.00817,1,-0.01916290722314784
2453344.6991468,1.007094,0.008396,1,-0.019126734320167316
2453344.6992742,1.001417,0.008421,1,-0.019090589953350445
2453344.6994016,0.989774,0.008323,1,-0.019054445586561997
2453344.6995291,0.987443,0.008394,1,-0.019018272683581472
2453344.6996565,0.999791,0.008475,1,-0.0189821283167646
2453344.6997839,1.007183,0.008124,1,-0.018945983949976153
2453344.7002572,1.005342,0.008448,1,-0.018811704870756785
2453344.700512,1.001072,0.008837,1,-0.01873941600504736
2453344.7006395,1.011445,0.008239,1,-0.01870324323417094
2453344.7007669,1.003166,0.00806,1,-0.018667098735249965
2453344.7008943,0.981766,0.008626,1,-0.018630954368461516
2453344.7010218,0.988891,0.008639,1,-0.018594781597585097
2453344.7011492,1.001066,0.008163,1,-0.01855863709866412
2453344.7012766,0.995673,0.008162,1,-0.018522492731875673
2453344.7014041,0.996085,0.008385,1,-0.018486319960999253
2453344.7015315,0.998606,0.008421,1,-0.018450175462078278
2453344.7016589,0.990339,0.008315,1,-0.018414031095261407
2453344.7017863,1.001807,0.0084,1,-0.018377886596368853
2453344.7019138,0.99674,0.008474,1,-0.018341713825492434
2453344.7020412,1.004256,0.008127,1,-0.018305569458675564
2453344.7021686,1.009079,0.008441,1,-0.018269424959754588
2453344.7022961,1.003053,0.008844,1,-0.01823325218890659
2453344.7024235,0.985915,0.008232,1,-0.01819710782208972
2453344.7025509,1.008828,0.008057,1,-0.018160963323168744
2453344.7026784,1.005197,0.008628,1,-0.018124790552320746
2453344.7028058,1.005925,0.008159,1,-0.018088646185503876
2453344.7029332,0.997755,0.008175,1,-0.0180525016865829
2453344.7030606,1.019083,0.008391,1,-0.01801635731979445
2453344.7031881,1.01331,0.008422,1,-0.017980184548918032
2453344.7033155,0.998499,0.008315,1,-0.017944040049997056
2453344.7034429,0.990137,0.008473,1,-0.017907895683208608
2453344.7035704,0.994673,0.008437,1,-0.01787172291233219
2453344.7036978,1.010168,0.008237,1,-0.017835578413411213
2453344.7038252,1.028504,0.008617,1,-0.017799434046594342
2453344.7039527,0.993377,0.008623,1,-0.017763261275746345
2453344.7040801,1.008411,0.008281,1,-0.01772711677682537
2453344.7042075,1.003083,0.008162,1,-0.0176909724100085
2453344.704335,1.005947,0.008626,1,-0.0176547996391605
2453344.7044624,1.011088,0.008387,1,-0.017618655140239525
2453344.7045898,0.999782,0.008427,1,-0.017582510773422655
2453344.705136,0.99301,0.008314,1,-0.01742754930967294
2453344.7052634,1.002247,0.008481,1,-0.01739140494285607
2453344.7055183,0.989491,0.008474,1,-0.017319087673058675
2453344.7056457,1.011191,0.008434,1,-0.017282943306270226
2453344.7057731,0.990819,0.008436,1,-0.017246798939453356
2453344.706028,0.996372,0.008602,1,-0.017174481669684383
2453344.7061554,0.991512,0.008232,1,-0.017138337302867512
2453344.7062829,0.994495,0.008552,1,-0.017102164399886988
2453344.7064103,1.011453,0.008628,1,-0.01706602003309854
2453344.7065377,1.0015,0.008239,1,-0.01702987566628167
2453344.7066652,1.005433,0.008157,1,-0.016993702763301144
2453344.7067926,1.006323,0.008605,1,-0.016957558396484274
2453344.70692,1.006899,0.008389,1,-0.016921414029695825
2453344.7070475,1.006872,0.008417,1,-0.0168852411267153
2453344.7071749,0.987154,0.008308,1,-0.01684909675989843
2453344.7073023,1.007648,0.008472,1,-0.01681295239310998
2453344.7074297,1.000043,0.008474,1,-0.016776807894189005
2453344.7076846,1.006569,0.008426,1,-0.016704490756524137
2453344.707812,0.998734,0.008595,1,-0.01666834625760316
2453344.7079395,0.988721,0.008544,1,-0.016632173486726742
2453344.7080669,1.009286,0.008772,1,-0.016596029119909872
2453344.7081943,0.991125,0.008602,1,-0.016559884621017318
2453344.7083218,1.001313,0.008513,1,-0.0165237118501409
2453344.7084492,0.99249,0.008412,1,-0.016487567483324028
2453344.7085766,1.023289,0.008927,1,-0.016451422984403052
2453344.7087041,0.991732,0.008464,1,-0.016415250213555055
2453344.7088315,0.98824,0.008421,1,-0.016379105846738184
2453344.7089589,1.009932,0.008594,1,-0.01634296134781721
2453344.7090863,1.004322,0.008504,1,-0.01630681698102876
2453344.7092138,0.989907,0.008547,1,-0.01627064421015234
2453344.7093412,0.991438,0.008503,1,-0.016234499711231365
2453344.7094686,1.005257,0.008236,1,-0.016198355344442916
2453344.7099419,0.994425,0.008728,1,-0.016064076265223548
2453344.7100693,1.00668,0.008606,1,-0.016027931766330994
2453344.7101968,1.001939,0.008488,1,-0.015991758995454575
2453344.7103242,0.992734,0.008412,1,-0.015955614628637704
2453344.7104516,1.009559,0.008908,1,-0.01591947012971673
2453344.7107065,0.988925,0.008468,1,-0.01584715299205186
2453344.7108339,1.008275,0.008423,1,-0.015811008493130885
2453344.7109613,0.985475,0.008641,1,-0.015774864126342436
2453344.7110888,0.997017,0.008595,1,-0.015738691355466017
2453344.7112162,0.992046,0.008491,1,-0.01570254685654504
2453344.7113436,0.994584,0.008547,1,-0.015666402489756592
2453344.7114711,0.994243,0.0085,1,-0.015630229718880173
2453344.7115985,1.005187,0.008229,1,-0.015594085219959197
2453344.7117259,1.007239,0.008728,1,-0.015557940853142327
2453344.7118534,1.007948,0.0086,1,-0.01552176808229433
2453344.7119808,1.008959,0.008492,1,-0.015485623583373354
2453344.7121082,0.99341,0.008411,1,-0.015449479216556483
2453344.7122356,0.990884,0.008905,1,-0.015413334717635507
2453344.7124905,1.010821,0.008472,1,-0.01534101757997064
2453344.7126179,1.009099,0.008448,1,-0.015304873081049664
2453344.7127454,1.000235,0.008641,1,-0.015268700310201666
2453344.7128728,1.018631,0.008593,1,-0.015232555943384796
2453344.7131277,1.001688,0.008492,1,-0.015160238673615822
2453344.7132551,1.004809,0.008501,1,-0.015124094306798952
2453344.7133825,0.998284,0.008724,1,-0.015087949807877976
2453344.71351,1.003585,0.008487,1,-0.015051777037001557
2453344.7136374,0.987394,0.008903,1,-0.015015632670213108
2453344.7137648,1.000098,0.008453,1,-0.014979488171292132
2453344.7138922,1.016539,0.008471,1,-0.014943343804475262
2453344.7140197,1.002982,0.008641,1,-0.014907171033627264
2453344.7141471,0.99769,0.008164,1,-0.014871026534706289
2453344.7142745,0.997983,0.008496,1,-0.014834882167889418
2453344.7147964,0.991607,0.008869,1,-0.014686814832316486
2453344.7151787,0.989321,0.008498,1,-0.014578353195730642
2453344.7153061,1.008545,0.008075,1,-0.014542208828913772
2453344.7154336,0.99723,0.008724,1,-0.014506036058065774
2453344.715561,1.006153,0.008659,1,-0.014469891559144799
2453344.7158159,0.990304,0.008486,1,-0.01439757442147993
2453344.7159433,1.002025,0.008187,1,-0.014361429922558955
2453344.7161981,0.995947,0.00843,1,-0.014289141188953636
